members,member-type,institution,Re3data records,Re3data id,Notes
China National GeneBank DataBase,Regular,China National GeneBank,https://www.re3data.org/repository/r3d100012917,r3d100012917,
Chinese National Space Science Data Center,Regular,Chinese Academy of Sciences,https://www.re3data.org/repository/r3d100010143,r3d100010143,
Cold and Arid Regions Science Data Center at Lanzhou,Regular,Cold and Arid Regions Environmental and Engineering Research Institute/Chinese Academy of Sciences,https://www.re3data.org/repository/r3d100010297,r3d100010297,
Crustal Dynamics Data Information System,Regular,NASA,https://www.re3data.org/repository/r3d100010501,r3d100010501,
Data Archive for Social Sciences in Bosnia and Herzegovina,Regular,Centre for Development Evaluation and Social Science Research,https://www.re3data.org/repository/r3d100013508,r3d100013508,
Data Archiving and Networked Services,Regular,Royal Netherlands Academy of Arts and Sciences/Dutch Research Council,https://www.re3data.org/repository/r3d100014195,"[r3d100014195, r3d100014304, r3d100014005]",
"Data Centre for Geography, Moscow",Regular,Lomonosov Moscow State University,https://www.re3data.org/repository/r3d100010442,r3d100010442,
DataFirst,Regular,University of Cape Town,https://www.re3data.org/repository/r3d100010217,r3d100010217,
Digital Repository of Ireland,Regular,Royal Irish Academy,https://www.re3data.org/repository/r3d100011805,r3d100011805,
Earth Resources Observation and Science Center,Regular,US Geological Survey,https://www.re3data.org/repository/r3d100010063,r3d100010063,
Environmental Information Data Centre,Regular,UK Centre for Ecology & Hydrology,https://www.re3data.org/repository/r3d100010199,r3d100010199,
Fish Database of Taiwan,Regular,Biodiversity Research Center/Academia Sinica,https://www.re3data.org/repository/r3d100010590,r3d100010590,
"Flanders Marine Institute, Data Centre",Regular,VLIZ,https://www.re3data.org/repository/r3d100010661,r3d100010661,
Geoscientific Data & Discovery Publishing System,Regular,National Geological Archives of China,https://www.re3data.org/repository/r3d100013392,r3d100013392,
Global Biodiversity Information Facility,Regular,GBIF Secretariat,https://www.re3data.org/repository/r3d100000039,r3d100000039,
Global Change Research Data Publishing and Repository,Regular,"Institute of Geographical Sciences and Natural Resources Research, Chinese Academy of Sciences",https://www.re3data.org/repository/r3d100012218,r3d100012218,
Global Hydrology Resource Center,Regular,NASA,https://www.re3data.org/repository/r3d100010502,r3d100010502,
Goddard Earth Sciences Data and Information Services Center,Regular,NASA,https://www.re3data.org/repository/r3d100000036,r3d100000036,
ImmPort Repository,Regular,US Health & Human Services,https://www.re3data.org/repository/r3d100012529,r3d100012529,
Interdisciplinary Earth Data Alliance,Regular,Lamont-Doherty Earth Observatory of Columbia University,https://www.re3data.org/repository/r3d100010578,r3d100010578,
International Earth Rotation and Reference Systems,Regular,Federal Agency for Cartography and Geodesy,https://www.re3data.org/repository/r3d100010312,r3d100010312,
International Service of Geomagnetic Indices,Regular,School & Observatory of Earth Sciences/EOST/University of Strasbourg,https://www.re3data.org/repository/r3d100010596,r3d100010596,
Interuniversity Consortium for Political and Social Research,Regular,University of Michigan,https://www.re3data.org/repository/r3d100010255,r3d100010255,
